@relation 'gesture-weka.filters.unsupervised.attribute.Remove-R31_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,7-11,12-26,27-30,357'

@attribute ratio numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingerDirection_f1_x numeric
@attribute fingerDirection_f1_y numeric
@attribute fingerDirection_f1_z numeric
@attribute fingerDirection_f2_x numeric
@attribute fingerDirection_f2_y numeric
@attribute fingerDirection_f2_z numeric
@attribute fingerDirection_f3_x numeric
@attribute fingerDirection_f3_y numeric
@attribute fingerDirection_f3_z numeric
@attribute fingerDirection_f4_x numeric
@attribute fingerDirection_f4_y numeric
@attribute fingerDirection_f4_z numeric
@attribute fingerDirection_f5_x numeric
@attribute fingerDirection_f5_y numeric
@attribute fingerDirection_f5_z numeric
@attribute fingerAngle_1 numeric
@attribute fingerAngle_2 numeric
@attribute fingerAngle_3 numeric
@attribute fingerAngle_4 numeric
@attribute class {G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24}

@data
0.020856,0.86611,1.211012,0.466251,0.449728,0.412324,-0.928253,0.348698,-0.129441,-0.990425,0.122699,0.063267,0.728297,-0.192457,0.65768,0.736093,0.000435,0.67688,0.705549,0.246964,0.664236,0.554606,0,0,0,G07
1,0.729746,1,0.405103,0.394004,0.352417,-0.93968,0.315629,-0.131833,-0.985791,0.100907,0.134291,0.679758,-0.121386,0.723321,0.630148,0.086867,0.771601,0.623609,0.309651,0.717794,0,0,0,0,G07
0.020476,0.877135,1.202562,0.459258,0.44339,0.393398,-0.928026,0.354419,-0.114695,-0.987702,0.125153,0.093707,0.745681,-0.141922,0.651013,0.749093,0.05333,0.660315,0.699355,0.346948,0.624924,0.562586,0,0,0,G07
0.020715,0.870562,1.206475,0.457989,0.444943,0.399815,-0.919932,0.369705,-0.13055,-0.990382,0.11102,0.082566,0.739138,-0.187906,0.646812,0.735899,0.011525,0.676994,0.669853,0.309785,0.674782,0.553897,0,0,0,G07
0.021159,0.872198,1.20047,0.456221,0.444162,0.415532,-0.920176,0.367582,-0.134757,-0.98755,0.125677,0.0946,0.724384,-0.194186,0.661483,0.720751,0.006538,0.693163,0.650308,0.259502,0.713974,0.538121,0,0,0,G07
1,0.751253,1,0.394061,0.375886,0.325798,-0.954926,0.285935,-0.079732,-0.966584,0.168971,0.19278,0.750799,-0.041813,0.659206,0.758046,0.158443,0.632662,0.744429,0.427789,0.512662,0,0,0,0,G07
0.067434,0.654723,0.975211,1.029357,0.602113,0.506625,-0.838356,-0.286768,-0.463598,-0.977833,-0.207874,-0.025111,-0.989966,-0.115509,0.081389,-0.068467,-0.010838,0.997594,-0.270333,0.235933,0.933411,0.135091,0,0,0,G08
0.082411,0.648747,0.973254,1.02949,0.635858,0.531596,-0.818646,-0.32453,-0.473812,-0.971363,-0.236926,-0.017908,-0.991004,-0.111842,0.073502,-0.130617,-0.028862,0.991013,-0.341903,0.214102,0.915021,0.104749,0,0,0,G08
0.065539,0.632444,0.975085,1.029722,0.617615,0.514141,-0.81094,-0.33463,-0.48,-0.977599,-0.203614,-0.053309,-0.991135,-0.122552,0.051315,-0.073608,-0.059013,0.99554,-0.279037,0.205778,0.937973,0.13857,0,0,0,G08
0.049808,0.631387,0.978178,1.030849,0.625272,0.520078,-0.840652,-0.271486,-0.468615,-0.981554,-0.186025,-0.044115,-0.983723,-0.163423,0.074714,-0.053103,-0.092483,0.994297,-0.247906,0.177937,0.952303,0.189728,0,0,0,G08
